Status,Revision,Reference,Exception,Deadline,Priority,Robot,Postpone,Started,Ended,Transaction Execution Time,Retry No.,Specific Data,Key,Reviewer Name,Exception Reason,Output
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:05:47 PM,6/6/2020 6:05:54 PM,7,0,"{""DynamicProperties"":{""First Name"":""John"",""Last Name"":""Smith"",""Company Name"":""IT Solutions"",""Role in Company"":""Analyst"",""Address"":""98 North Road"",""Email"":""jsmith@itsolutions.co.uk"",""Phone Number"":""40716543298"",""Status"":""Ready""}}",5af41ae0-53bf-427f-95a0-3164b4537a72,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:05:54 PM,6/6/2020 6:06:01 PM,6,0,"{""DynamicProperties"":{""First Name"":""Jane"",""Last Name"":""Dorsey"",""Company Name"":""MediCare"",""Role in Company"":""Medical Engineer"",""Address"":""11 Crown Street"",""Email"":""jdorsey@mc.com"",""Phone Number"":""40791345621"",""Status"":""Not ready""}}",c270d876-6640-4d61-a30c-72659ecdd020,,,"{""DynamicProperties"":{}}"
Retried,None,,ApplicationException,,Normal,SHERLOCK,,6/6/2020 6:06:02 PM,6/6/2020 6:06:14 PM,11,0,"{""DynamicProperties"":{""First Name"":""Albert"",""Last Name"":""Kipling"",""Company Name"":""Waterfront"",""Role in Company"":""Accountant"",""Address"":""22 Guild Street"",""Email"":""kipling@waterfront.com"",""Phone Number"":""40735416854"",""Status"":""Not ready""}}",6cb7280d-5392-45e0-bc1b-7b4e1554511c,,The UiElement is no longer valid,
Retried,None,,ApplicationException,,Normal,SHERLOCK,,6/6/2020 6:06:14 PM,6/6/2020 6:06:45 PM,30,0,"{""DynamicProperties"":{""First Name"":""Michael"",""Last Name"":""Robertson"",""Company Name"":""MediCare"",""Role in Company"":""IT Specialist"",""Address"":""17 Farburn Terrace"",""Email"":""mrobertson@mc.com"",""Phone Number"":""40733652145"",""Status"":""Ready""}}",4495cad1-fb5d-4d54-84c0-7e901aa1890b,,Cannot find the UI element corresponding to this selector: <html app='chrome.exe' title='Rpa Challenge' />,
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:06:46 PM,6/6/2020 6:07:01 PM,15,0,"{""DynamicProperties"":{""First Name"":""Doug"",""Last Name"":""Derrick"",""Company Name"":""Timepath Inc."",""Role in Company"":""Analyst"",""Address"":""99 Shire Oak Road"",""Email"":""dderrick@timepath.co.uk"",""Phone Number"":""40799885412"",""Status"":""Not ready""}}",c356c6d3-5b61-4c6b-b6ee-d697f6f6ee71,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:07:02 PM,6/6/2020 6:07:09 PM,7,0,"{""DynamicProperties"":{""First Name"":""Jessie"",""Last Name"":""Marlowe"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""27 Cheshire Street"",""Email"":""jmarlowe@aperture.us"",""Phone Number"":""40733154268"",""Status"":""Not ready""}}",a79d41ec-d9ce-48dd-97e3-e3c49fd23138,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:07:09 PM,6/6/2020 6:07:16 PM,6,0,"{""DynamicProperties"":{""First Name"":""Stan"",""Last Name"":""Hamm"",""Company Name"":""Sugarwell"",""Role in Company"":""Advisor"",""Address"":""10 Dam Road"",""Email"":""shamm@sugarwell.org"",""Phone Number"":""40712462257"",""Status"":""Ready""}}",0b525c70-5992-433f-a81f-ce580e6e61a8,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:07:17 PM,6/6/2020 6:07:24 PM,6,0,"{""DynamicProperties"":{""First Name"":""Michelle"",""Last Name"":""Norton"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""13 White Rabbit Street"",""Email"":""mnorton@aperture.us"",""Phone Number"":""40731254562"",""Status"":""Not ready""}}",69c996fe-b31e-4e86-8a7c-a0cdd3436b15,,,"{""DynamicProperties"":{}}"
Retried,None,,ApplicationException,,Normal,SHERLOCK,,6/6/2020 6:07:25 PM,6/6/2020 6:07:46 PM,20,0,"{""DynamicProperties"":{""First Name"":""Stacy"",""Last Name"":""Shelby"",""Company Name"":""TechDev"",""Role in Company"":""HR Manager"",""Address"":""19 Pineapple Boulevard"",""Email"":""sshelby@techdev.com"",""Phone Number"":""40741785214"",""Status"":""Not ready""}}",c1b0a357-cbe1-4cc1-8077-540598f03234,,The UiElement is no longer valid,
Retried,None,,ApplicationException,,Normal,SHERLOCK,,6/6/2020 6:07:46 PM,6/6/2020 6:08:18 PM,31,0,"{""DynamicProperties"":{""First Name"":""Lara"",""Last Name"":""Palmer"",""Company Name"":""Timepath Inc."",""Role in Company"":""Programmer"",""Address"":""87 Orange Street"",""Email"":""lpalmer@timepath.co.uk"",""Phone Number"":""40731653845"",""Status"":""Ready""}}",c56f002f-1f82-4901-b69a-36a9ff5300b3,,Cannot find the UI element corresponding to this selector: <html app='chrome.exe' title='Rpa Challenge' />,
