Status,Revision,Reference,Exception,Deadline,Priority,Robot,Postpone,Started,Ended,Transaction Execution Time,Retry No.,Specific Data,Key,Reviewer Name,Exception Reason,Output
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:48:47 PM,6/6/2020 6:48:55 PM,7,0,"{""DynamicProperties"":{""First Name"":""John"",""Last Name"":""Smith"",""Company Name"":""IT Solutions"",""Role in Company"":""Analyst"",""Address"":""98 North Road"",""Email"":""jsmith@itsolutions.co.uk"",""Phone Number"":""40716543298"",""Status"":""Ready""}}",4121810b-6646-40e8-8993-f335e1a23588,,,"{""DynamicProperties"":{}}"
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:48:55 PM,6/6/2020 6:48:56 PM,1,0,"{""DynamicProperties"":{""First Name"":""Jane"",""Last Name"":""Dorsey"",""Company Name"":""MediCare"",""Role in Company"":""Medical Engineer"",""Address"":""11 Crown Street"",""Email"":""jdorsey@mc.com"",""Phone Number"":""40713543298"",""Status"":""Not ready""}}",7308a935-d99d-4778-b149-b5d8b7e7083b,,Item is not ready to process,
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:48:57 PM,6/6/2020 6:48:59 PM,1,0,"{""DynamicProperties"":{""First Name"":""Albert"",""Last Name"":""Kipling"",""Company Name"":""Waterfront"",""Role in Company"":""Accountant"",""Address"":""22 Guild Street"",""Email"":""kipling@waterfront.com"",""Phone Number"":""40735416854"",""Status"":""Not ready""}}",c3c59128-6895-4cb8-a886-8f705be07e5c,,Item is not ready to process,
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:48:59 PM,6/6/2020 6:49:01 PM,1,0,"{""DynamicProperties"":{""First Name"":""Michael"",""Last Name"":""Robertson"",""Company Name"":""MediCare"",""Role in Company"":""IT Specialist"",""Address"":""17 Farburn Terrace"",""Email"":""mrobertson@mc.com"",""Phone Number"":""bvhvv"",""Status"":""Ready""}}",99af0741-107e-4d38-b982-eb8259b9cdf5,,Phone number is not numeric,
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:49:01 PM,6/6/2020 6:49:03 PM,1,0,"{""DynamicProperties"":{""First Name"":""Doug"",""Last Name"":""Derrick"",""Company Name"":""Timepath Inc."",""Role in Company"":""Analyst"",""Address"":""99 Shire Oak Road"",""Email"":""dderrick@timepath.co.uk"",""Phone Number"":""40799885412"",""Status"":""Not ready""}}",94ba8fc8-c42d-4894-91df-de1aad95aaf1,,Item is not ready to process,
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:49:03 PM,6/6/2020 6:49:04 PM,1,0,"{""DynamicProperties"":{""First Name"":""Jessie"",""Last Name"":""Marlowe"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""27 Cheshire Street"",""Email"":""jmarlowe@aperture.us"",""Phone Number"":""40733154268"",""Status"":""Not ready""}}",046daf49-5b21-434d-bfed-59dcd1042e97,,Item is not ready to process,
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 6:49:05 PM,6/6/2020 6:49:13 PM,7,0,"{""DynamicProperties"":{""First Name"":""Stan"",""Last Name"":""Hamm"",""Company Name"":""Sugarwell"",""Role in Company"":""Advisor"",""Address"":""10 Dam Road"",""Email"":""shamm@sugarwell.org"",""Phone Number"":""40712462257"",""Status"":""Ready""}}",856c215e-f47c-4156-88aa-6ae0b171b00a,,,"{""DynamicProperties"":{}}"
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:49:14 PM,6/6/2020 6:49:15 PM,1,0,"{""DynamicProperties"":{""First Name"":""Michelle"",""Last Name"":""Norton"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""13 White Rabbit Street"",""Email"":""mnorton@aperture.us"",""Phone Number"":""40731254562"",""Status"":""Not ready""}}",8b9fa866-5e75-4189-90ca-47b2a87b6118,,Item is not ready to process,
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:49:16 PM,6/6/2020 6:49:18 PM,1,0,"{""DynamicProperties"":{""First Name"":""Stacy"",""Last Name"":""Shelby"",""Company Name"":""TechDev"",""Role in Company"":""HR Manager"",""Address"":""19 Pineapple Boulevard"",""Email"":""sshelby@techdev.com"",""Phone Number"":""40741785214"",""Status"":""Not ready""}}",1e66993e-28d9-428b-8f8e-280e1c238f83,,Item is not ready to process,
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/6/2020 6:49:18 PM,6/6/2020 6:49:20 PM,1,0,"{""DynamicProperties"":{""First Name"":""Lara"",""Last Name"":""Palmer"",""Company Name"":""Timepath Inc."",""Role in Company"":""Programmer"",""Address"":""87 Orange Street"",""Email"":""lpalmer@timepath.co.uk"",""Phone Number"":""drdf"",""Status"":""Ready""}}",de31cc1c-1073-4167-9700-74febd241b78,,Phone number is not numeric,
