Status,Revision,Reference,Exception,Deadline,Priority,Robot,Postpone,Started,Ended,Transaction Execution Time,Retry No.,Specific Data,Key,Reviewer Name,Exception Reason,Output
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:48:33 PM,6/6/2020 3:48:41 PM,7,0,"{""DynamicProperties"":{""First Name"":""John"",""Last Name"":""Smith"",""Company Name"":""IT Solutions"",""Role in Company"":""Analyst"",""Address"":""98 North Road"",""Email"":""jsmith@itsolutions.co.uk"",""Phone Number"":""40716543298""}}",e22443c8-29fa-477a-b817-93e707eb1d32,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:48:41 PM,6/6/2020 3:48:49 PM,7,0,"{""DynamicProperties"":{""First Name"":""Jane"",""Last Name"":""Dorsey"",""Company Name"":""MediCare"",""Role in Company"":""Medical Engineer"",""Address"":""11 Crown Street"",""Email"":""jdorsey@mc.com"",""Phone Number"":""40791345621""}}",56242a3d-1ef1-45cb-b747-1a681ece2cfe,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:48:49 PM,6/6/2020 3:48:57 PM,7,0,"{""DynamicProperties"":{""First Name"":""Albert"",""Last Name"":""Kipling"",""Company Name"":""Waterfront"",""Role in Company"":""Accountant"",""Address"":""22 Guild Street"",""Email"":""kipling@waterfront.com"",""Phone Number"":""40735416854""}}",4a7fbf32-5e64-444d-9882-7b1aceab6047,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:48:57 PM,6/6/2020 3:49:05 PM,7,0,"{""DynamicProperties"":{""First Name"":""Michael"",""Last Name"":""Robertson"",""Company Name"":""MediCare"",""Role in Company"":""IT Specialist"",""Address"":""17 Farburn Terrace"",""Email"":""mrobertson@mc.com"",""Phone Number"":""40733652145""}}",3524706d-64f5-4b9a-9ad9-1ff78ca4efb1,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:49:06 PM,6/6/2020 3:49:13 PM,7,0,"{""DynamicProperties"":{""First Name"":""Doug"",""Last Name"":""Derrick"",""Company Name"":""Timepath Inc."",""Role in Company"":""Analyst"",""Address"":""99 Shire Oak Road"",""Email"":""dderrick@timepath.co.uk"",""Phone Number"":""40799885412""}}",e043387a-49e9-4be1-a868-852dca7b9057,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:49:14 PM,6/6/2020 3:49:22 PM,8,0,"{""DynamicProperties"":{""First Name"":""Jessie"",""Last Name"":""Marlowe"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""27 Cheshire Street"",""Email"":""jmarlowe@aperture.us"",""Phone Number"":""40733154268""}}",05961063-d9ce-4f6b-9ec2-c6283d5aa051,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:49:23 PM,6/6/2020 3:49:31 PM,7,0,"{""DynamicProperties"":{""First Name"":""Stan"",""Last Name"":""Hamm"",""Company Name"":""Sugarwell"",""Role in Company"":""Advisor"",""Address"":""10 Dam Road"",""Email"":""shamm@sugarwell.org"",""Phone Number"":""40712462257""}}",dac235ba-88ca-4377-a89c-958cd69e2e04,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:49:31 PM,6/6/2020 3:49:38 PM,6,0,"{""DynamicProperties"":{""First Name"":""Michelle"",""Last Name"":""Norton"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""13 White Rabbit Street"",""Email"":""mnorton@aperture.us"",""Phone Number"":""40731254562""}}",2f033568-6e3a-41f6-a309-74218e07108d,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:49:39 PM,6/6/2020 3:49:46 PM,7,0,"{""DynamicProperties"":{""First Name"":""Stacy"",""Last Name"":""Shelby"",""Company Name"":""TechDev"",""Role in Company"":""HR Manager"",""Address"":""19 Pineapple Boulevard"",""Email"":""sshelby@techdev.com"",""Phone Number"":""40741785214""}}",4e1b7c8c-bbef-40ec-b27d-c125f16a2162,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/6/2020 3:49:47 PM,6/6/2020 3:49:54 PM,7,0,"{""DynamicProperties"":{""First Name"":""Lara"",""Last Name"":""Palmer"",""Company Name"":""Timepath Inc."",""Role in Company"":""Programmer"",""Address"":""87 Orange Street"",""Email"":""lpalmer@timepath.co.uk"",""Phone Number"":""40731653845""}}",2ed9b885-6954-4e1d-96a7-4625cebda82c,,,"{""DynamicProperties"":{}}"
