Status,Revision,Reference,Exception,Deadline,Priority,Robot,Postpone,Started,Ended,Transaction Execution Time,Retry No.,Specific Data,Key,Reviewer Name,Exception Reason,Output
Successful,None,Ready,,,Normal,SHERLOCK,,6/6/2020 4:10:48 PM,6/6/2020 4:10:55 PM,6,0,"{""DynamicProperties"":{""First Name"":""John"",""Last Name"":""Smith"",""Company Name"":""IT Solutions"",""Role in Company"":""Analyst"",""Address"":""98 North Road"",""Email"":""jsmith@itsolutions.co.uk"",""Phone Number"":""40716543298"",""Status"":""Ready""}}",ce612a76-ba69-4bb5-9f13-ad21e7afcdfa,,,"{""DynamicProperties"":{}}"
New,None,Not ready,,,Normal,,,,,0,0,"{""DynamicProperties"":{""First Name"":""Jane"",""Last Name"":""Dorsey"",""Company Name"":""MediCare"",""Role in Company"":""Medical Engineer"",""Address"":""11 Crown Street"",""Email"":""jdorsey@mc.com"",""Phone Number"":""40791345621"",""Status"":""Not ready""}}",36763122-e7d9-4bb6-bbf3-426dadadec5e,,,
New,None,Not ready,,,Normal,,,,,0,0,"{""DynamicProperties"":{""First Name"":""Albert"",""Last Name"":""Kipling"",""Company Name"":""Waterfront"",""Role in Company"":""Accountant"",""Address"":""22 Guild Street"",""Email"":""kipling@waterfront.com"",""Phone Number"":""40735416854"",""Status"":""Not ready""}}",9c76100e-ea76-4d82-b6e4-4cdbbfe58709,,,
Successful,None,Ready,,,Normal,SHERLOCK,,6/6/2020 4:10:55 PM,6/6/2020 4:11:02 PM,6,0,"{""DynamicProperties"":{""First Name"":""Michael"",""Last Name"":""Robertson"",""Company Name"":""MediCare"",""Role in Company"":""IT Specialist"",""Address"":""17 Farburn Terrace"",""Email"":""mrobertson@mc.com"",""Phone Number"":""40733652145"",""Status"":""Ready""}}",6525e105-a8a4-40f1-9253-40fefebab406,,,"{""DynamicProperties"":{}}"
New,None,Not ready,,,Normal,,,,,0,0,"{""DynamicProperties"":{""First Name"":""Doug"",""Last Name"":""Derrick"",""Company Name"":""Timepath Inc."",""Role in Company"":""Analyst"",""Address"":""99 Shire Oak Road"",""Email"":""dderrick@timepath.co.uk"",""Phone Number"":""40799885412"",""Status"":""Not ready""}}",5f1dfe28-22c7-4821-8cba-07f6971cd926,,,
New,None,Not ready,,,Normal,,,,,0,0,"{""DynamicProperties"":{""First Name"":""Jessie"",""Last Name"":""Marlowe"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""27 Cheshire Street"",""Email"":""jmarlowe@aperture.us"",""Phone Number"":""40733154268"",""Status"":""Not ready""}}",ffa375b6-7b5f-465d-b6e8-f0b8b3a00dc8,,,
Successful,None,Ready,,,Normal,SHERLOCK,,6/6/2020 4:11:04 PM,6/6/2020 4:11:11 PM,6,0,"{""DynamicProperties"":{""First Name"":""Stan"",""Last Name"":""Hamm"",""Company Name"":""Sugarwell"",""Role in Company"":""Advisor"",""Address"":""10 Dam Road"",""Email"":""shamm@sugarwell.org"",""Phone Number"":""40712462257"",""Status"":""Ready""}}",6b5357e4-8eb6-4ab9-8139-1f52ed58acdb,,,"{""DynamicProperties"":{}}"
New,None,Not ready,,,Normal,,,,,0,0,"{""DynamicProperties"":{""First Name"":""Michelle"",""Last Name"":""Norton"",""Company Name"":""Aperture Inc."",""Role in Company"":""Scientist"",""Address"":""13 White Rabbit Street"",""Email"":""mnorton@aperture.us"",""Phone Number"":""40731254562"",""Status"":""Not ready""}}",df0458c9-7e5a-4eeb-8bce-45d6273edcec,,,
New,None,Not ready,,,Normal,,,,,0,0,"{""DynamicProperties"":{""First Name"":""Stacy"",""Last Name"":""Shelby"",""Company Name"":""TechDev"",""Role in Company"":""HR Manager"",""Address"":""19 Pineapple Boulevard"",""Email"":""sshelby@techdev.com"",""Phone Number"":""40741785214"",""Status"":""Not ready""}}",dc413242-b1a7-4f51-8952-0afb93f0b165,,,
Successful,None,Ready,,,Normal,SHERLOCK,,6/6/2020 4:11:11 PM,6/6/2020 4:11:18 PM,6,0,"{""DynamicProperties"":{""First Name"":""Lara"",""Last Name"":""Palmer"",""Company Name"":""Timepath Inc."",""Role in Company"":""Programmer"",""Address"":""87 Orange Street"",""Email"":""lpalmer@timepath.co.uk"",""Phone Number"":""40731653845"",""Status"":""Ready""}}",f9aadf0f-8144-460a-b5c4-2b0c7b8566f2,,,"{""DynamicProperties"":{}}"
